Day,Date,Price
1,26-07-2021,140.65
2,27-07-2021,132.9
3,28-07-2021,131.2
4,29-07-2021,141.55
5,30-07-2021,133.5
6,02-08-2021,139.7
7,03-08-2021,139.4
8,04-08-2021,138.4
9,05-08-2021,134.95
10,06-08-2021,131.35
11,09-08-2021,130.6
12,10-08-2021,125.2
13,11-08-2021,135.65
14,12-08-2021,135.45
15,13-08-2021,137.35
16,16-08-2021,134.95
17,17-08-2021,132.5
18,18-08-2021,134.95
19,20-08-2021,139.3
20,23-08-2021,127.25
21,24-08-2021,125
22,25-08-2021,124.25
23,26-08-2021,125.85
24,27-08-2021,124.7
25,30-08-2021,133.55
26,31-08-2021,134.55
27,01-09-2021,132.6
28,02-09-2021,137.6
29,03-09-2021,149.75
30,06-09-2021,144.05
31,07-09-2021,140.05
32,08-09-2021,141.25
33,09-09-2021,141.6
34,13-09-2021,143.15
35,14-09-2021,144.1
36,15-09-2021,142.65
37,16-09-2021,142.05
38,17-09-2021,137.9
39,20-09-2021,134.3
40,21-09-2021,133.45
41,22-09-2021,132.1
42,23-09-2021,137.3
43,24-09-2021,136.65
44,27-09-2021,143.7
45,28-09-2021,139
46,29-09-2021,138.5
47,30-09-2021,136.6
48,01-10-2021,138
49,04-10-2021,139.1
50,05-10-2021,137.95
51,06-10-2021,134.95
52,07-10-2021,137.1
53,08-10-2021,136.15
54,11-10-2021,136.85
55,12-10-2021,136.6
56,13-10-2021,135.45
57,14-10-2021,135
58,18-10-2021,144.05
59,19-10-2021,138.55
60,20-10-2021,137.9
61,21-10-2021,138.15
62,22-10-2021,137.75
63,25-10-2021,132.7
64,26-10-2021,135.45
65,27-10-2021,134.8
66,28-10-2021,135.6
67,29-10-2021,131.55
68,01-11-2021,132.65
69,02-11-2021,132.45
70,03-11-2021,128.35
71,04-11-2021,131.35
72,08-11-2021,131.15
73,09-11-2021,137.65
74,10-11-2021,136.05
75,11-11-2021,140.9
76,12-11-2021,153
77,15-11-2021,160.3
78,16-11-2021,157.6
79,17-11-2021,156.55
80,18-11-2021,154.7
81,22-11-2021,149.75
82,23-11-2021,148.7
83,24-11-2021,155.5
84,25-11-2021,159.75
85,26-11-2021,148.15
86,29-11-2021,149.1
87,30-11-2021,152.55
88,01-12-2021,151.4
89,02-12-2021,150.65
90,03-12-2021,144.9
91,06-12-2021,138.55
92,07-12-2021,139.8
93,08-12-2021,147.6
94,09-12-2021,146.25
95,10-12-2021,140.55
96,13-12-2021,142.65
97,14-12-2021,140.65
98,15-12-2021,140.6
99,16-12-2021,138.4
100,17-12-2021,135.35
101,20-12-2021,126.55
102,21-12-2021,131.6
103,22-12-2021,138.65
104,23-12-2021,133
105,24-12-2021,131.45
106,27-12-2021,132.75
107,28-12-2021,132.85
108,29-12-2021,137.1
109,30-12-2021,133.95
110,31-12-2021,137.4
111,03-01-2022,141.35
112,04-01-2022,138.35
113,05-01-2022,133.95
114,06-01-2022,130
115,07-01-2022,129.25
116,10-01-2022,130.2
117,11-01-2022,131.3
118,12-01-2022,132.25
119,13-01-2022,133.1
120,14-01-2022,133.6
121,17-01-2022,134
122,18-01-2022,133.05
123,19-01-2022,129.2
124,20-01-2022,125.2
125,21-01-2022,113.65
126,24-01-2022,91.35
127,25-01-2022,100.45
128,27-01-2022,90.5
129,28-01-2022,89.55
130,31-01-2022,90.4
131,01-02-2022,94.55
132,02-02-2022,98.9
133,03-02-2022,97.1
134,04-02-2022,94.2
135,07-02-2022,93.55
136,08-02-2022,93.55
137,09-02-2022,94.2
138,10-02-2022,94.45
139,11-02-2022,88.7
140,14-02-2022,82.45
141,15-02-2022,82.7
142,16-02-2022,84.95
143,17-02-2022,89.15
144,18-02-2022,85.9
145,21-02-2022,81.55
146,22-02-2022,79.7
147,23-02-2022,84.15
148,24-02-2022,78.5
149,25-02-2022,78.8
150,28-02-2022,79.95
151,02-03-2022,79.85
152,03-03-2022,82.2
153,04-03-2022,80.2
154,07-03-2022,79
155,08-03-2022,78.15
156,09-03-2022,80.35
157,10-03-2022,82.2
158,11-03-2022,79.9
159,14-03-2022,79.3
160,15-03-2022,76.55
161,16-03-2022,75.95
162,17-03-2022,80.85
163,21-03-2022,80.4
164,22-03-2022,81.15
165,23-03-2022,80.75
166,24-03-2022,80.35
167,25-03-2022,80.6
168,28-03-2022,79.65
169,29-03-2022,78.2
170,30-03-2022,85.05
171,31-03-2022,82.3
172,01-04-2022,84.3
173,04-04-2022,86.25
174,05-04-2022,83.9
175,06-04-2022,84.55
176,07-04-2022,82.5
177,08-04-2022,83.4
178,11-04-2022,84.45
179,12-04-2022,81.5
180,13-04-2022,83.9
181,18-04-2022,82.9
182,19-04-2022,80.45
183,20-04-2022,80.3
184,21-04-2022,80.8
185,22-04-2022,81.2
186,25-04-2022,78.75
187,26-04-2022,79.6
188,27-04-2022,75.85
189,28-04-2022,73.85
190,29-04-2022,71.75
191,02-05-2022,69.5
192,04-05-2022,64.45
193,05-05-2022,61.15
194,06-05-2022,60.5
195,09-05-2022,56.75
196,10-05-2022,52.45
197,11-05-2022,54.2
198,12-05-2022,51.95
199,13-05-2022,56.85
200,16-05-2022,56.4
201,17-05-2022,56.15
202,18-05-2022,58.75
203,19-05-2022,55.35
204,20-05-2022,58.05
205,23-05-2022,57.05
206,24-05-2022,64.95
207,25-05-2022,62.3
208,26-05-2022,60.45
209,27-05-2022,62.05
210,30-05-2022,71.05
211,31-05-2022,74.65
212,01-06-2022,74.7
213,02-06-2022,71.95
214,03-06-2022,72.15
215,06-06-2022,69.9
216,07-06-2022,65.4
217,08-06-2022,67.15
218,09-06-2022,68.7
219,10-06-2022,69
220,13-06-2022,67.5
221,14-06-2022,70
222,15-06-2022,70.2
223,16-06-2022,67.2
224,17-06-2022,67.05
225,20-06-2022,65
226,21-06-2022,66.05
227,22-06-2022,67.6
228,23-06-2022,69.55
229,24-06-2022,70.5
230,27-06-2022,65.85
231,28-06-2022,60.3
232,29-06-2022,57.3
233,30-06-2022,53.85
234,01-07-2022,56.15
235,04-07-2022,54.3
236,05-07-2022,55.45
237,06-07-2022,54.35
238,07-07-2022,54.45
239,08-07-2022,54.8
240,11-07-2022,56.1
241,12-07-2022,59
242,13-07-2022,58.35
243,14-07-2022,55.65
244,15-07-2022,53.9
245,18-07-2022,53.6
246,19-07-2022,53.95
247,20-07-2022,53.4
248,21-07-2022,53.5
249,22-07-2022,53.65
250,25-07-2022,47.6
251,26-07-2022,41.65
252,27-07-2022,43.95
253,28-07-2022,45.7
254,29-07-2022,46.8
255,01-08-2022,46.3
256,02-08-2022,55.55
257,03-08-2022,55.45
258,04-08-2022,57.85
259,05-08-2022,54.6
260,08-08-2022,55.45
261,10-08-2022,55.95
262,11-08-2022,57.9
263,12-08-2022,61.75
264,16-08-2022,64.25
265,17-08-2022,65.25
266,18-08-2022,67.1
267,19-08-2022,61.45
268,22-08-2022,62
269,23-08-2022,64.45
270,24-08-2022,62.2
271,25-08-2022,62.1
272,26-08-2022,61.85
273,29-08-2022,59.2
274,30-08-2022,57.95
275,01-09-2022,62.45
276,02-09-2022,59.75
277,05-09-2022,59.65
278,06-09-2022,59.7
279,07-09-2022,59.5
280,08-09-2022,61.35
281,09-09-2022,62.8
282,12-09-2022,62.55
283,13-09-2022,65.45
284,14-09-2022,63.3
285,15-09-2022,64.6
286,16-09-2022,63.2
287,19-09-2022,63.95
288,20-09-2022,62.85
289,21-09-2022,63.45
290,22-09-2022,63.3
291,23-09-2022,60.8
292,26-09-2022,57.8
293,27-09-2022,58.85
294,28-09-2022,58.05
295,29-09-2022,61.2
296,30-09-2022,62.35
297,03-10-2022,61.9
298,04-10-2022,64.05
299,06-10-2022,65.55
300,07-10-2022,69.55
301,10-10-2022,68.7
302,11-10-2022,65.55
303,12-10-2022,63.75
304,13-10-2022,61.25
305,14-10-2022,61.9
306,17-10-2022,62.65
307,18-10-2022,63
308,19-10-2022,62.05
309,20-10-2022,61.3
310,21-10-2022,61.8
311,24-10-2022,62.35
312,25-10-2022,64.6
313,27-10-2022,65.1
314,28-10-2022,62.6
315,31-10-2022,63.1
316,01-11-2022,63.5
317,02-11-2022,63
318,03-11-2022,62.2
319,04-11-2022,63
320,07-11-2022,65.1
321,09-11-2022,65.3
322,10-11-2022,63.95
323,11-11-2022,72.8
324,14-11-2022,69.6
325,15-11-2022,69.95
326,16-11-2022,68.7
327,17-11-2022,67.7
328,18-11-2022,67.15
329,21-11-2022,64.3
330,22-11-2022,63.95
331,23-11-2022,61.75
332,24-11-2022,63.2
333,25-11-2022,64
334,28-11-2022,64.4
335,29-11-2022,63.55
336,30-11-2022,65.25
337,01-12-2022,66.65
338,02-12-2022,68.55
339,05-12-2022,65.45
340,06-12-2022,64.8
341,07-12-2022,64.45
342,08-12-2022,63.8
343,09-12-2022,64.15
344,12-12-2022,64.4
345,13-12-2022,64.6
346,14-12-2022,65
347,15-12-2022,64.15
348,16-12-2022,62.15
349,19-12-2022,62.15
350,20-12-2022,62.85
351,21-12-2022,61.35
352,22-12-2022,58.95
353,23-12-2022,53.65
354,26-12-2022,58.15
355,27-12-2022,58.95
356,28-12-2022,60.15
357,29-12-2022,60.85
358,30-12-2022,59.3
359,02-01-2023,60.3
360,03-01-2023,58.95
361,04-01-2023,56.35
362,05-01-2023,56.2
363,06-01-2023,55.25
364,09-01-2023,56
365,10-01-2023,54.7
366,11-01-2023,54.35
367,12-01-2023,53.75
368,13-01-2023,53.25
369,16-01-2023,52.7
370,17-01-2023,50.15
371,18-01-2023,51
372,19-01-2023,51.1
373,20-01-2023,51.45
374,23-01-2023,51
375,24-01-2023,52.1
376,25-01-2023,47.75
377,27-01-2023,46.95
378,30-01-2023,47.4
379,31-01-2023,49.75
380,01-02-2023,48.15
381,02-02-2023,47.5
382,03-02-2023,48.75
383,06-02-2023,47.75
384,07-02-2023,49.35
385,08-02-2023,54.3
386,09-02-2023,54.4
387,10-02-2023,53.3
388,13-02-2023,51.8
389,14-02-2023,50.35
390,15-02-2023,50.25
391,16-02-2023,51.4
392,17-02-2023,51.8
393,20-02-2023,54.6
394,21-02-2023,55.35
395,22-02-2023,52.95
396,23-02-2023,54.95
397,24-02-2023,54.45
398,27-02-2023,53.6
399,28-02-2023,53.5
400,01-03-2023,54.95
401,02-03-2023,54.55
402,03-03-2023,53.65
403,06-03-2023,53.95
404,08-03-2023,54.8
405,09-03-2023,54.05
406,10-03-2023,53.85
407,13-03-2023,51.9
408,14-03-2023,50.75
409,15-03-2023,50.75
410,16-03-2023,53.05
411,17-03-2023,54.9
412,20-03-2023,53.55
413,21-03-2023,53
414,22-03-2023,53.1
415,23-03-2023,52.65
416,24-03-2023,50.65
417,27-03-2023,50.1
418,28-03-2023,50.25
419,29-03-2023,51.25
420,31-03-2023,51
421,03-04-2023,51.95
422,05-04-2023,51.7
423,06-04-2023,52.15
424,10-04-2023,53.95
425,11-04-2023,53.95
426,12-04-2023,53.2
427,13-04-2023,53.85
428,17-04-2023,53.95
429,18-04-2023,53.3
430,19-04-2023,54.15
431,20-04-2023,54.2
432,21-04-2023,56.05
433,24-04-2023,56
434,25-04-2023,57.75
435,26-04-2023,58.2
436,27-04-2023,60.7
437,28-04-2023,64.9
438,02-05-2023,63.45
439,03-05-2023,63.55
440,04-05-2023,65.7
441,05-05-2023,65.4
442,08-05-2023,64.9
443,09-05-2023,60.95
444,10-05-2023,61.8
445,11-05-2023,62.4
446,12-05-2023,62.6
447,15-05-2023,63.7
448,16-05-2023,63
449,17-05-2023,63.35
450,18-05-2023,63.5
451,19-05-2023,64.5
452,22-05-2023,63.5
453,23-05-2023,63.2
454,24-05-2023,64.45
455,25-05-2023,67.3
456,26-05-2023,67.25
457,29-05-2023,67.1
458,30-05-2023,66.85
459,31-05-2023,69.05
460,01-06-2023,67.95
461,02-06-2023,71.15
462,05-06-2023,71.25
463,06-06-2023,72.35
464,07-06-2023,74.5
465,08-06-2023,75.8
466,09-06-2023,77.6
467,12-06-2023,77.95
468,13-06-2023,78.3
469,14-06-2023,74.1
470,15-06-2023,75.1
471,16-06-2023,74.45
472,19-06-2023,75.85
473,20-06-2023,75.85
474,21-06-2023,75.1
475,22-06-2023,74.35
476,23-06-2023,74.15
477,26-06-2023,74.85
478,27-06-2023,76.15
479,28-06-2023,74.9
480,30-06-2023,75.05
481,03-07-2023,75.65
482,04-07-2023,74.8
483,05-07-2023,74.05
484,06-07-2023,74.75
485,07-07-2023,73.25
486,10-07-2023,74.8
487,11-07-2023,76.8
488,12-07-2023,77.5
489,13-07-2023,82.2
490,14-07-2023,82.55
491,17-07-2023,80.15
492,18-07-2023,78.7
493,19-07-2023,77.65
494,20-07-2023,77.6
495,21-07-2023,80.3
496,24-07-2023,81.3
497,25-07-2023,82.65
498,26-07-2023,83.35
499,27-07-2023,84.95
500,28-07-2023,86.8
501,31-07-2023,84.1
502,01-08-2023,84.75
503,02-08-2023,85.05
504,03-08-2023,86.55
505,04-08-2023,95.4
506,07-08-2023,97.6
507,08-08-2023,93.45
508,09-08-2023,94.1
509,10-08-2023,94.25
510,11-08-2023,93.45
511,14-08-2023,92.75
512,16-08-2023,91.9
513,17-08-2023,91.15
514,18-08-2023,89.35
515,21-08-2023,89.75
516,22-08-2023,91.9
517,23-08-2023,94.3
518,24-08-2023,93.8
519,25-08-2023,91
520,28-08-2023,92.35
521,29-08-2023,94.7
522,30-08-2023,99.8
523,31-08-2023,97.6
524,01-09-2023,97.2
525,04-09-2023,98.05
526,05-09-2023,98.2
527,06-09-2023,98.2
528,07-09-2023,100.05
529,08-09-2023,99.6
530,11-09-2023,101.35
531,12-09-2023,98.75
532,13-09-2023,97.9
533,14-09-2023,99.45
534,15-09-2023,102.95
535,18-09-2023,102.15
536,20-09-2023,100
537,21-09-2023,99.15
538,22-09-2023,99.9
539,25-09-2023,98.45
540,26-09-2023,99.9
541,27-09-2023,100.1
542,28-09-2023,99.95
543,29-09-2023,101.5
544,03-10-2023,105.3
545,04-10-2023,100.75
546,05-10-2023,105.4
547,06-10-2023,104.45
548,09-10-2023,103.9
549,10-10-2023,106.05
550,11-10-2023,109
551,12-10-2023,109.85
552,13-10-2023,111
553,16-10-2023,111.5
554,17-10-2023,113.85
555,18-10-2023,113.2
556,19-10-2023,111.65
557,20-10-2023,113.35
558,23-10-2023,108.9
559,25-10-2023,108.25
560,26-10-2023,106.45
561,27-10-2023,105.65
562,30-10-2023,107.7
563,31-10-2023,105.1
564,01-11-2023,103.7
565,02-11-2023,107.55
566,03-11-2023,116.5
567,06-11-2023,123.3
568,07-11-2023,121.3
569,08-11-2023,125.15
570,09-11-2023,121.85
571,10-11-2023,121.3
572,12-11-2023,123.3
573,13-11-2023,122.2
574,15-11-2023,120.25
575,16-11-2023,121.85
576,17-11-2023,122.2
577,20-11-2023,118.15
578,21-11-2023,116.5
579,22-11-2023,115.3
580,23-11-2023,112.95
581,24-11-2023,113.25
582,28-11-2023,113.8
583,29-11-2023,116.6
584,30-11-2023,118.55
585,01-12-2023,116.3
586,04-12-2023,117.4
587,05-12-2023,116.75
588,06-12-2023,118.9
589,07-12-2023,121.7
590,08-12-2023,119.95
591,11-12-2023,118.45
592,12-12-2023,116.75
593,13-12-2023,120
594,14-12-2023,124.15
595,15-12-2023,123.6
596,18-12-2023,128.55
597,19-12-2023,130.25
598,20-12-2023,124.75
599,21-12-2023,127.35
600,22-12-2023,128.5
601,26-12-2023,125
602,27-12-2023,127.05
603,28-12-2023,123.2
604,29-12-2023,123.7
605,01-01-2024,124.5
606,02-01-2024,128.7
607,03-01-2024,127.55
608,04-01-2024,129.75
609,05-01-2024,133.3
610,08-01-2024,132.85
611,09-01-2024,134.3
612,10-01-2024,134.65
613,11-01-2024,138.35
614,12-01-2024,139.55
615,15-01-2024,133.4
616,16-01-2024,133.55
617,17-01-2024,127.4
618,18-01-2024,129.45
619,19-01-2024,135.05
620,20-01-2024,134.1
621,23-01-2024,130.1
622,24-01-2024,136.2
623,25-01-2024,136.15
624,29-01-2024,135.55
625,30-01-2024,137.2
626,31-01-2024,139.55
627,01-02-2024,140.55
628,02-02-2024,143.8
629,05-02-2024,140.25
630,06-02-2024,139.95
631,07-02-2024,140.4
632,08-02-2024,144.1
633,09-02-2024,149.45
634,12-02-2024,153.8
635,13-02-2024,154.75
636,14-02-2024,152.25
637,15-02-2024,154.85
638,16-02-2024,156.7
639,19-02-2024,157.5
640,20-02-2024,161.05
641,21-02-2024,158.65
642,22-02-2024,162.1
643,23-02-2024,164.05
644,26-02-2024,164.2
645,27-02-2024,161.3
646,28-02-2024,159.35
647,29-02-2024,165.45
648,01-03-2024,166.5
649,02-03-2024,167.65
650,04-03-2024,169.8
651,05-03-2024,165.85
652,06-03-2024,161.55
653,07-03-2024,160
654,11-03-2024,154.85
655,12-03-2024,156.9
656,13-03-2024,148.65
657,14-03-2024,152.75
658,15-03-2024,160.05
659,18-03-2024,158.25
660,19-03-2024,157.95
661,20-03-2024,165.6
662,21-03-2024,169.65
663,22-03-2024,174.2
664,26-03-2024,182.6
665,27-03-2024,179.45
666,28-03-2024,182.1
667,01-04-2024,184.5
668,02-04-2024,183.1
669,03-04-2024,178.3
670,04-04-2024,187
671,05-04-2024,190.5
672,08-04-2024,191.8
673,09-04-2024,193.7
674,10-04-2024,196.9
675,12-04-2024,192.1
676,15-04-2024,188.3
677,16-04-2024,186.45
678,18-04-2024,185.2
679,19-04-2024,189.2
680,22-04-2024,193.35
681,23-04-2024,187.45
682,24-04-2024,184.4
683,25-04-2024,184.7
684,26-04-2024,188.1
685,29-04-2024,193.6
686,30-04-2024,193.15
687,02-05-2024,195.45
688,03-05-2024,197.25
689,06-05-2024,195.7
690,07-05-2024,191.45
691,08-05-2024,195.45
692,09-05-2024,195.25
693,10-05-2024,201.3
694,13-05-2024,194.3
695,14-05-2024,187.3
696,15-05-2024,192
697,16-05-2024,195.2
698,17-05-2024,194.85
699,18-05-2024,194.5
700,21-05-2024,189.1
701,22-05-2024,185.5
702,23-05-2024,186.8
703,24-05-2024,182.9
704,27-05-2024,183.65
705,28-05-2024,181.6
706,29-05-2024,183.35
707,30-05-2024,180.6
708,31-05-2024,179.15
709,03-06-2024,175.45
710,04-06-2024,172
711,05-06-2024,183.8
712,06-06-2024,183.65
713,07-06-2024,184
714,10-06-2024,182.16
715,11-06-2024,184.02
716,12-06-2024,179.65
717,13-06-2024,184.94
718,14-06-2024,186.24
719,18-06-2024,188.61
720,19-06-2024,198.49
721,20-06-2024,197.05
722,21-06-2024,193.95
723,24-06-2024,198.92
724,25-06-2024,202.27
725,26-06-2024,197.25
726,27-06-2024,200.15
727,28-06-2024,200.56
728,01-07-2024,203.97
729,02-07-2024,209.09
730,03-07-2024,208.44
731,04-07-2024,207.44
732,05-07-2024,207.57
733,08-07-2024,207.93
734,09-07-2024,212.56
735,10-07-2024,211.37
736,11-07-2024,217.14
737,12-07-2024,222.47
738,15-07-2024,229.15
739,16-07-2024,217.49
740,18-07-2024,220.62
741,19-07-2024,218.89
742,22-07-2024,221.66
743,23-07-2024,217.91
744,24-07-2024,223.49
745,25-07-2024,219.31
746,26-07-2024,224.62
747,29-07-2024,226.89
748,30-07-2024,227.13
749,31-07-2024,229.45
750,01-08-2024,234.09
751,02-08-2024,262.34
752,05-08-2024,256.29
753,06-08-2024,249.08
754,07-08-2024,265.67
755,08-08-2024,265.59
756,09-08-2024,267.09
757,12-08-2024,263.43
758,13-08-2024,257.08
759,14-08-2024,260.14
760,16-08-2024,264.43
